ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission,swap,profit,equity,margin_level,close_reason
1114144800,2026-04-17T10:47:41,2026-04-17T13:37:34,sell,0.15,0.15,GBPNZD,2.29855,2.29256,2.30254,2.29256,-222.14,,5171.79,,,tp
1114142016,2026-04-17T10:47:11,2026-04-17T12:48:11,buy,0.34,0.34,NZDUSD,0.58848,0.59078,0.58742,0.59078,-436.39,,7602.06,,,tp
1113538369,2026-04-17T08:17:53,2026-04-17T08:45:34,buy,0.4,0.4,NZDJPY,93.708,93.79,93.79,94.02,-593.68,,2005.91,,,sl
1109668204,2026-04-16T14:09:37,2026-04-16T15:17:03,buy,0.17,0.17,EURCHF,0.92219,0.92337,0.92337,0.92565,-201.93,,2491.01,,,sl
1109893129,2026-04-16T14:38:02,2026-04-16T15:01:16,buy,0.14,0.14,GBPCHF,1.05883,1.05998,1.05998,1.06172,-235.58,,1999.24,,,sl
1109847843,2026-04-16T14:30:36,2026-04-16T14:50:53,sell,0.17,0.17,EURGBP,0.87107,0.87125,0.87125,0.86622,-302.83,,-409.62,,,sl
1107825244,2026-04-16T08:23:56,2026-04-16T13:51:53,sell,0.23,0.23,USDJPY,158.963,159.16,159.16,158.668,-159.33,,-2817.25,,,sl
1108084641,2026-04-16T09:33:14,2026-04-16T13:39:40,sell,0.17,0.17,EURGBP,0.87012,0.86923,0.86923,0.86739,-302.96,,1993.69,,,sl
1107842879,2026-04-16T08:28:15,2026-04-16T11:23:18,buy,0.15,0.15,CHFJPY,203.144,202.8,202.8,203.666,-148.45,,-3211.23,,,sl
1102370871,2026-04-15T09:07:59,2026-04-15T10:42:48,buy,0.32,0.32,CADJPY,115.342,115.418,115.418,115.68,-317.89,,1494.09,,,sl
1091405657,2026-04-13T14:03:18,2026-04-13T16:37:36,buy,0.2,0.2,EURCHF,0.9235,0.9216,0.9216,0.9263,-239.65,,-4828.16,,,sl
1083550917,2026-04-10T14:22:11,2026-04-10T14:51:08,buy,0.2,0.2,EURCHF,0.92221,0.92401,0.92401,0.92515,-239.67,,4502.71,,,sl
1059869379,2026-04-07T09:03:26,2026-04-07T10:01:23,buy,0.19,0.19,USDJPY,159.495,159.623,159.623,159.86,-133.24,,1501.3,,,sl
1059472893,2026-04-07T08:08:54,2026-04-07T08:14:52,sell,0.15,0.15,GBPUSD,1.32438,1.32607,1.32607,1.31764,-135.31,,-2540.68,,,sl
1059472654,2026-04-07T08:08:48,2026-04-07T08:14:52,sell,0.17,0.17,EURUSD,1.15533,1.15677,1.15677,1.14954,-119.28,,-2453.48,,,sl
1055090649,2026-04-06T14:43:07,2026-04-07T02:49:19,buy,0.28,0.28,AUDCHF,0.55201,0.55244,0.55244,0.55513,-252.15,,1485.65,,,sl
1052341725,2026-04-06T07:57:28,2026-04-06T13:12:20,buy,0.19,0.19,USDCAD,1.39191,1.39076,1.39076,1.3949099999999999,-152.19,,-1572.26,,,sl
1047895385,2026-04-03T16:07:14,2026-04-06T07:59:24,buy,0.17,0.17,EURCAD,1.60641,1.60972,1.60972,1.6103800000000001,-186.57,,4000.67,,,sl
1046307259,2026-04-02T16:47:11,2026-04-03T11:17:48,buy,0.17,0.17,EURAUD,1.67051,1.67095,1.67095,1.67544,-188.82,,504.64,,,sl
1044918126,2026-04-02T14:07:15,2026-04-02T14:57:53,buy,0.15,0.15,GBPNZD,2.30988,2.31165,2.31165,2.31591,-226.9,,1496.57,,,sl
1045287991,2026-04-02T14:42:32,2026-04-02T14:53:45,sell,0.35,0.35,NZDCAD,0.79715,0.79695,0.79695,0.79385,-317.6,,494.38,,,sl
1045286518,2026-04-02T14:42:23,2026-04-02T14:44:05,sell,0.29,0.29,AUDCAD,0.96148,0.9619,0.9619,0.95505,-263.15,,-882.97,,,sl
1044801344,2026-04-02T13:57:21,2026-04-02T14:06:07,sell,0.29,0.29,AUDJPY,109.924,109.896,109.896,109.475,-263.3,,500.78,,,sl
1044562087,2026-04-02T13:37:22,2026-04-02T13:41:39,buy,0.15,0.15,GBPAUD,1.91949,1.91998,1.91998,1.9270399999999999,-196.65,,497.38,,,sl
1042876863,2026-04-02T09:48:43,2026-04-02T11:56:33,buy,0.15,0.15,GBPNZD,2.31055,2.31421,2.31234,2.31421,-226.78,,3071.99,,,tp
1042640024,2026-04-02T09:08:22,2026-04-02T09:21:15,sell,0.41,0.41,NZDCHF,0.45673,0.45663,0.45663,0.4532,-258.36,,501.63,,,sl
